Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
4589966,GHED_CHE_pc_US_SHA2011,COUNTRY,MLI,AFR,Africa,YEAR,2004,,,,,,,,,21.72,21.72006,,,,2024-12-10T14:55:59Z,2004,2004-01-01,2004-12-31
892,GHED_CHE_pc_US_SHA2011,COUNTRY,IRL,EUR,Europe,YEAR,2017,,,,,,,,,5010.26,5010.25635,,,,2024-12-10T14:55:59Z,2017,2017-01-01,2017-12-31
959,GHED_CHE_pc_US_SHA2011,COUNTRY,MYS,WPR,Western Pacific,YEAR,2014,,,,,,,,,414.44,414.43924,,,,2024-12-10T14:55:59Z,2014,2014-01-01,2014-12-31
1482,GHED_CHE_pc_US_SHA2011,COUNTRY,DEU,EUR,Europe,YEAR,2018,,,,,,,,,5507.68,5507.67676,,,,2024-12-10T14:55:59Z,2018,2018-01-01,2018-12-31
2130,GHED_CHE_pc_US_SHA2011,COUNTRY,LAO,WPR,Western Pacific,YEAR,2010,,,,,,,,,34.52,34.52461,,,,2024-12-10T14:55:59Z,2010,2010-01-01,2010-12-31
4166,GHED_CHE_pc_US_SHA2011,COUNTRY,TUR,EUR,Europe,YEAR,2014,,,,,,,,,520.41,520.40753,,,,2024-12-10T14:55:59Z,2014,2014-01-01,2014-12-31
6192,GHED_CHE_pc_US_SHA2011,COUNTRY,NIC,AMR,Americas,YEAR,2018,,,,,,,,,172.98,172.97604,,,,2024-12-10T14:55:59Z,2018,2018-01-01,2018-12-31
6732,GHED_CHE_pc_US_SHA2011,COUNTRY,THA,SEAR,South-East Asia,YEAR,2000,,,,,,,,,62.21,62.21043,,,,2024-12-10T14:55:59Z,2000,2000-01-01,2000-12-31
7504,GHED_CHE_pc_US_SHA2011,COUNTRY,BRA,AMR,Americas,YEAR,2009,,,,,,,,,728.56,728.5564,,,,2024-12-10T14:55:59Z,2009,2009-01-01,2009-12-31
7964,GHED_CHE_pc_US_SHA2011,COUNTRY,QAT,EMR,Eastern Mediterranean,YEAR,2020,,,,,,,,,1967.15,1967.15198,,,,2024-12-10T14:55:59Z,2020,2020-01-01,2020-12-31
10007,GHED_CHE_pc_US_SHA2011,COUNTRY,MDA,EUR,Europe,YEAR,2013,,,,,,,,,231.66,231.66229,,,,2024-12-10T14:55:59Z,2013,2013-01-01,2013-12-31
12277,GHED_CHE_pc_US_SHA2011,COUNTRY,PRT,EUR,Europe,YEAR,2006,,,,,,,,,1857.65,1857.64526,,,,2024-12-10T14:55:59Z,2006,2006-01-01,2006-12-31
12289,GHED_CHE_pc_US_SHA2011,COUNTRY,LVA,EUR,Europe,YEAR,2010,,,,,,,,,689.08,689.07721,,,,2024-12-10T14:55:59Z,2010,2010-01-01,2010-12-31
14213,GHED_CHE_pc_US_SHA2011,COUNTRY,USA,AMR,Americas,YEAR,2009,,,,,,,,,7614.82,7614.82422,,,,2024-12-10T14:55:59Z,2009,2009-01-01,2009-12-31
15088,GHED_CHE_pc_US_SHA2011,COUNTRY,IRN,EMR,Eastern Mediterranean,YEAR,2016,,,,,,,,,444.44,444.43973,,,,2024-12-10T14:55:59Z,2016,2016-01-01,2016-12-31
15556,GHED_CHE_pc_US_SHA2011,COUNTRY,BLZ,AMR,Americas,YEAR,2018,,,,,,,,,287.49,287.49368,,,,2024-12-10T14:55:59Z,2018,2018-01-01,2018-12-31
19197,GHED_CHE_pc_US_SHA2011,COUNTRY,ETH,AFR,Africa,YEAR,2000,,,,,,,,,5.29,5.28971,,,,2024-12-10T14:55:59Z,2000,2000-01-01,2000-12-31
23693,GHED_CHE_pc_US_SHA2011,COUNTRY,UZB,EUR,Europe,YEAR,2017,,,,,,,,,93.42,93.41515,,,,2024-12-10T14:55:59Z,2017,2017-01-01,2017-12-31
25007,GHED_CHE_pc_US_SHA2011,COUNTRY,BHS,AMR,Americas,YEAR,2009,,,,,,,,,1416.92,1416.92468,,,,2024-12-10T14:55:59Z,2009,2009-01-01,2009-12-31
