Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
4590473,GHED_EXTCHE_SHA2011,WORLDBANKINCOMEGROUP,WB_HI,,,YEAR,2009,,,,,,,,,3,3.00225,,,,2024-12-10T14:55:59Z,2009,2009-01-01,2009-12-31
1539,GHED_EXTCHE_SHA2011,COUNTRY,UGA,AFR,Africa,YEAR,2022,,,,,,,,,41.57,41.57285,,,,2024-12-10T14:55:59Z,2022,2022-01-01,2022-12-31
3485,GHED_EXTCHE_SHA2011,COUNTRY,GTM,AMR,Americas,YEAR,2018,,,,,,,,,1.68,1.68231,,,,2024-12-10T14:55:59Z,2018,2018-01-01,2018-12-31
5110,GHED_EXTCHE_SHA2011,COUNTRY,NRU,WPR,Western Pacific,YEAR,2016,,,,,,,,,5.67,5.66649,,,,2024-12-10T14:55:59Z,2016,2016-01-01,2016-12-31
5491,GHED_EXTCHE_SHA2011,COUNTRY,BHR,EMR,Eastern Mediterranean,YEAR,2001,,,,,,,,,0,0,,,,2024-12-10T14:55:59Z,2001,2001-01-01,2001-12-31
6088,GHED_EXTCHE_SHA2011,COUNTRY,BGR,EUR,Europe,YEAR,2013,,,,,,,,,,,,,,2024-12-10T14:55:59Z,2013,2013-01-01,2013-12-31
6670,GHED_EXTCHE_SHA2011,COUNTRY,BOL,AMR,Americas,YEAR,2012,,,,,,,,,4.42,4.42235,,,,2024-12-10T14:55:59Z,2012,2012-01-01,2012-12-31
7383,GHED_EXTCHE_SHA2011,COUNTRY,GTM,AMR,Americas,YEAR,2017,,,,,,,,,1.08,1.08229,,,,2024-12-10T14:55:59Z,2017,2017-01-01,2017-12-31
8327,GHED_EXTCHE_SHA2011,COUNTRY,THA,SEAR,South-East Asia,YEAR,2013,,,,,,,,,0.31,0.3113,,,,2024-12-10T14:55:59Z,2013,2013-01-01,2013-12-31
9822,GHED_EXTCHE_SHA2011,COUNTRY,CZE,EUR,Europe,YEAR,2002,,,,,,,,,,,,,,2024-12-10T14:55:59Z,2002,2002-01-01,2002-12-31
