Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
4590148,GHED_EXT_pc_US_SHA2011,COUNTRY,SMR,EUR,Europe,YEAR,2017,,,,,,,,,,,,,,2024-12-10T14:55:59Z,2017,2017-01-01,2017-12-31
875,GHED_EXT_pc_US_SHA2011,GLOBAL,GLOBAL,,,YEAR,2007,,,,,,,,,15.83,15.82933,,,,2024-12-10T14:55:59Z,2007,2007-01-01,2007-12-31
991,GHED_EXT_pc_US_SHA2011,COUNTRY,BRB,AMR,Americas,YEAR,2019,,,,,,,,,10.37,10.37279,,,,2024-12-10T14:55:59Z,2019,2019-01-01,2019-12-31
3233,GHED_EXT_pc_US_SHA2011,COUNTRY,URY,AMR,Americas,YEAR,2006,,,,,,,,,,,,,,2024-12-10T14:55:59Z,2006,2006-01-01,2006-12-31
3649,GHED_EXT_pc_US_SHA2011,COUNTRY,MEX,AMR,Americas,YEAR,2011,,,,,,,,,,,,,,2024-12-10T14:55:59Z,2011,2011-01-01,2011-12-31
6689,GHED_EXT_pc_US_SHA2011,COUNTRY,TKM,EUR,Europe,YEAR,2004,,,,,,,,,0.32,0.31761,,,,2024-12-10T14:55:59Z,2004,2004-01-01,2004-12-31
6869,GHED_EXT_pc_US_SHA2011,COUNTRY,CUB,AMR,Americas,YEAR,2019,,,,,,,,,1.35,1.35358,,,,2024-12-10T14:55:59Z,2019,2019-01-01,2019-12-31
8237,GHED_EXT_pc_US_SHA2011,COUNTRY,SYR,EMR,Eastern Mediterranean,YEAR,2022,,,,,,,,,7.01,7.01087,,,,2024-12-10T14:55:59Z,2022,2022-01-01,2022-12-31
9076,GHED_EXT_pc_US_SHA2011,COUNTRY,ERI,AFR,Africa,YEAR,2021,,,,,,,,,8.03,8.02724,,,,2024-12-10T14:55:59Z,2021,2021-01-01,2021-12-31
10251,GHED_EXT_pc_US_SHA2011,COUNTRY,STP,AFR,Africa,YEAR,2009,,,,,,,,,26.4,26.40078,,,,2024-12-10T14:55:59Z,2009,2009-01-01,2009-12-31
11718,GHED_EXT_pc_US_SHA2011,COUNTRY,SWE,EUR,Europe,YEAR,2012,,,,,,,,,,,,,,2024-12-10T14:55:59Z,2012,2012-01-01,2012-12-31
11800,GHED_EXT_pc_US_SHA2011,COUNTRY,MDG,AFR,Africa,YEAR,2005,,,,,,,,,3.71,3.70853,,,,2024-12-10T14:55:59Z,2005,2005-01-01,2005-12-31
11842,GHED_EXT_pc_US_SHA2011,COUNTRY,LKA,SEAR,South-East Asia,YEAR,2021,,,,,,,,,6.9,6.90109,,,,2024-12-10T14:55:59Z,2021,2021-01-01,2021-12-31
13161,GHED_EXT_pc_US_SHA2011,COUNTRY,BWA,AFR,Africa,YEAR,2007,,,,,,,,,45.77,45.77167,,,,2024-12-10T14:55:59Z,2007,2007-01-01,2007-12-31
14491,GHED_EXT_pc_US_SHA2011,COUNTRY,RUS,EUR,Europe,YEAR,2002,,,,,,,,,0.26,0.2623,,,,2024-12-10T14:55:59Z,2002,2002-01-01,2002-12-31
17700,GHED_EXT_pc_US_SHA2011,COUNTRY,BWA,AFR,Africa,YEAR,2001,,,,,,,,,28.43,28.43064,,,,2024-12-10T14:55:59Z,2001,2001-01-01,2001-12-31
21736,GHED_EXT_pc_US_SHA2011,COUNTRY,MKD,EUR,Europe,YEAR,2000,,,,,,,,,6.4,6.40255,,,,2024-12-10T14:55:59Z,2000,2000-01-01,2000-12-31
23633,GHED_EXT_pc_US_SHA2011,COUNTRY,BTN,SEAR,South-East Asia,YEAR,2005,,,,,,,,,8.9,8.89864,,,,2024-12-10T14:55:59Z,2005,2005-01-01,2005-12-31
23707,GHED_EXT_pc_US_SHA2011,COUNTRY,MUS,AFR,Africa,YEAR,2017,,,,,,,,,2.99,2.98848,,,,2024-12-10T14:55:59Z,2017,2017-01-01,2017-12-31
23868,GHED_EXT_pc_US_SHA2011,COUNTRY,CYP,EUR,Europe,YEAR,2008,,,,,,,,,9.99,9.99117,,,,2024-12-10T14:55:59Z,2008,2008-01-01,2008-12-31
24001,GHED_EXT_pc_US_SHA2011,COUNTRY,COM,AFR,Africa,YEAR,2012,,,,,,,,,11.18,11.18051,,,,2024-12-10T14:55:59Z,2012,2012-01-01,2012-12-31
27792,GHED_EXT_pc_US_SHA2011,COUNTRY,CRI,AMR,Americas,YEAR,2021,,,,,,,,,0.45,0.45389,,,,2024-12-10T14:55:59Z,2021,2021-01-01,2021-12-31
28487,GHED_EXT_pc_US_SHA2011,COUNTRY,CMR,AFR,Africa,YEAR,2007,,,,,,,,,2.54,2.53927,,,,2024-12-10T14:55:59Z,2007,2007-01-01,2007-12-31
