Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
5041,GHED_GGHE-DCHE_SHA2011,COUNTRY,SRB,EUR,Europe,YEAR,2013,,,,,,,,,59.86,59.86,,,,2024-12-10T14:55:59Z,2013,2013-01-01,2013-12-31
5845,GHED_GGHE-DCHE_SHA2011,COUNTRY,LCA,AMR,Americas,YEAR,2008,,,,,,,,,31.53,31.53467,,,,2024-12-10T14:55:59Z,2008,2008-01-01,2008-12-31
5985,GHED_GGHE-DCHE_SHA2011,COUNTRY,NOR,EUR,Europe,YEAR,2017,,,,,,,,,85.12,85.12067,,,,2024-12-10T14:55:59Z,2017,2017-01-01,2017-12-31
11629,GHED_GGHE-DCHE_SHA2011,COUNTRY,ETH,AFR,Africa,YEAR,2006,,,,,,,,,25.13,25.12864,,,,2024-12-10T14:55:59Z,2006,2006-01-01,2006-12-31
12035,GHED_GGHE-DCHE_SHA2011,REGION,AFR,,,YEAR,2004,,,,,,,,,31.94,31.94362,,,,2024-12-10T14:55:59Z,2004,2004-01-01,2004-12-31
12938,GHED_GGHE-DCHE_SHA2011,COUNTRY,MOZ,AFR,Africa,YEAR,2021,,,,,,,,,28.28,28.27827,,,,2024-12-10T14:55:59Z,2021,2021-01-01,2021-12-31
13021,GHED_GGHE-DCHE_SHA2011,COUNTRY,COD,AFR,Africa,YEAR,2021,,,,,,,,,16.76,16.76401,,,,2024-12-10T14:55:59Z,2021,2021-01-01,2021-12-31
16184,GHED_GGHE-DCHE_SHA2011,COUNTRY,CAN,AMR,Americas,YEAR,2016,,,,,,,,,69.9,69.8987,,,,2024-12-10T14:55:59Z,2016,2016-01-01,2016-12-31
17372,GHED_GGHE-DCHE_SHA2011,COUNTRY,SEN,AFR,Africa,YEAR,2022,,,,,,,,,22.05,22.0499,,,,2024-12-10T14:55:59Z,2022,2022-01-01,2022-12-31
20215,GHED_GGHE-DCHE_SHA2011,COUNTRY,THA,SEAR,South-East Asia,YEAR,2001,,,,,,,,,55.01,55.01472,,,,2024-12-10T14:55:59Z,2001,2001-01-01,2001-12-31
