Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2571,GHED_GGHE-DGDP_SHA2011,COUNTRY,SWZ,AFR,Africa,YEAR,2001,,,,,,,,,2.38,2.38432,,,,2024-12-10T14:55:59Z,2001,2001-01-01,2001-12-31
2857,GHED_GGHE-DGDP_SHA2011,COUNTRY,ISR,EUR,Europe,YEAR,2017,,,,,,,,,4.58,4.58425,,,,2024-12-10T14:55:59Z,2017,2017-01-01,2017-12-31
3516,GHED_GGHE-DGDP_SHA2011,COUNTRY,NPL,SEAR,South-East Asia,YEAR,2022,,,,,,,,,2.11,2.106,,,,2024-12-10T14:55:59Z,2022,2022-01-01,2022-12-31
4802,GHED_GGHE-DGDP_SHA2011,COUNTRY,SLE,AFR,Africa,YEAR,2020,,,,,,,,,1.36,1.36408,,,,2024-12-10T14:55:59Z,2020,2020-01-01,2020-12-31
5569,GHED_GGHE-DGDP_SHA2011,COUNTRY,PLW,WPR,Western Pacific,YEAR,2012,,,,,,,,,4.31,4.3128,,,,2024-12-10T14:55:59Z,2012,2012-01-01,2012-12-31
6197,GHED_GGHE-DGDP_SHA2011,COUNTRY,GHA,AFR,Africa,YEAR,2009,,,,,,,,,2.16,2.16014,,,,2024-12-10T14:55:59Z,2009,2009-01-01,2009-12-31
6805,GHED_GGHE-DGDP_SHA2011,COUNTRY,AUS,WPR,Western Pacific,YEAR,2014,,,,,,,,,6.89,6.88869,,,,2024-12-10T14:55:59Z,2014,2014-01-01,2014-12-31
13631,GHED_GGHE-DGDP_SHA2011,COUNTRY,AND,EUR,Europe,YEAR,2003,,,,,,,,,3.55,3.5489,,,,2024-12-10T14:55:59Z,2003,2003-01-01,2003-12-31
15025,GHED_GGHE-DGDP_SHA2011,COUNTRY,CHL,AMR,Americas,YEAR,2015,,,,,,,,,4.01,4.01007,,,,2024-12-10T14:55:59Z,2015,2015-01-01,2015-12-31
15535,GHED_GGHE-DGDP_SHA2011,COUNTRY,MYS,WPR,Western Pacific,YEAR,2013,,,,,,,,,1.89,1.89358,,,,2024-12-10T14:55:59Z,2013,2013-01-01,2013-12-31
