Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1280,GHED_GGHE-DGGE_SHA2011,COUNTRY,PAN,AMR,Americas,YEAR,2006,,,,,,,,,18.55,18.5495,,,,2024-12-10T14:55:59Z,2006,2006-01-01,2006-12-31
2835,GHED_GGHE-DGGE_SHA2011,COUNTRY,COD,AFR,Africa,YEAR,2016,,,,,,,,,3.81,3.80773,,,,2024-12-10T14:55:59Z,2016,2016-01-01,2016-12-31
4231,GHED_GGHE-DGGE_SHA2011,COUNTRY,TGO,AFR,Africa,YEAR,2000,,,,,,,,,2.44,2.44484,,,,2024-12-10T14:55:59Z,2000,2000-01-01,2000-12-31
4831,GHED_GGHE-DGGE_SHA2011,COUNTRY,FJI,WPR,Western Pacific,YEAR,2020,,,,,,,,,8.68,8.68146,,,,2024-12-10T14:55:59Z,2020,2020-01-01,2020-12-31
5253,GHED_GGHE-DGGE_SHA2011,COUNTRY,TKM,EUR,Europe,YEAR,2015,,,,,,,,,8.71,8.71145,,,,2024-12-10T14:55:59Z,2015,2015-01-01,2015-12-31
5698,GHED_GGHE-DGGE_SHA2011,COUNTRY,COG,AFR,Africa,YEAR,2010,,,,,,,,,3.6,3.6021,,,,2024-12-10T14:55:59Z,2010,2010-01-01,2010-12-31
6057,GHED_GGHE-DGGE_SHA2011,COUNTRY,FRA,EUR,Europe,YEAR,2010,,,,,,,,,13.9,13.90194,,,,2024-12-10T14:55:59Z,2010,2010-01-01,2010-12-31
14735,GHED_GGHE-DGGE_SHA2011,COUNTRY,CAN,AMR,Americas,YEAR,2003,,,,,,,,,16.36,16.36354,,,,2024-12-10T14:55:59Z,2003,2003-01-01,2003-12-31
15110,GHED_GGHE-DGGE_SHA2011,COUNTRY,BEL,EUR,Europe,YEAR,2010,,,,,,,,,14.43,14.42988,,,,2024-12-10T14:55:59Z,2010,2010-01-01,2010-12-31
16254,GHED_GGHE-DGGE_SHA2011,COUNTRY,ISL,EUR,Europe,YEAR,2008,,,,,,,,,10.82,10.82198,,,,2024-12-10T14:55:59Z,2008,2008-01-01,2008-12-31
18081,GHED_GGHE-DGGE_SHA2011,COUNTRY,KAZ,EUR,Europe,YEAR,2017,,,,,,,,,7.86,7.85734,,,,2024-12-10T14:55:59Z,2017,2017-01-01,2017-12-31
22827,GHED_GGHE-DGGE_SHA2011,COUNTRY,CUB,AMR,Americas,YEAR,2002,,,,,,,,,11.19,11.19047,,,,2024-12-10T14:55:59Z,2002,2002-01-01,2002-12-31
24461,GHED_GGHE-DGGE_SHA2011,COUNTRY,VCT,AMR,Americas,YEAR,2019,,,,,,,,,9.85,9.85361,,,,2024-12-10T14:55:59Z,2019,2019-01-01,2019-12-31
24700,GHED_GGHE-DGGE_SHA2011,COUNTRY,BTN,SEAR,South-East Asia,YEAR,2000,,,,,,,,,7.66,7.66199,,,,2024-12-10T14:55:59Z,2000,2000-01-01,2000-12-31
25885,GHED_GGHE-DGGE_SHA2011,COUNTRY,PRY,AMR,Americas,YEAR,2007,,,,,,,,,12.69,12.69456,,,,2024-12-10T14:55:59Z,2007,2007-01-01,2007-12-31
28410,GHED_GGHE-DGGE_SHA2011,COUNTRY,BIH,EUR,Europe,YEAR,2017,,,,,,,,,15.47,15.46655,,,,2024-12-10T14:55:59Z,2017,2017-01-01,2017-12-31
29571,GHED_GGHE-DGGE_SHA2011,COUNTRY,ISL,EUR,Europe,YEAR,2014,,,,,,,,,14.59,14.58803,,,,2024-12-10T14:55:59Z,2014,2014-01-01,2014-12-31
31638,GHED_GGHE-DGGE_SHA2011,COUNTRY,MNG,WPR,Western Pacific,YEAR,2016,,,,,,,,,6.46,6.46198,,,,2024-12-10T14:55:59Z,2016,2016-01-01,2016-12-31
35036,GHED_GGHE-DGGE_SHA2011,COUNTRY,ATG,AMR,Americas,YEAR,2001,,,,,,,,,12.12,12.11716,,,,2024-12-10T14:55:59Z,2001,2001-01-01,2001-12-31
35260,GHED_GGHE-DGGE_SHA2011,COUNTRY,MUS,AFR,Africa,YEAR,2001,,,,,,,,,7.02,7.01589,,,,2024-12-10T14:55:59Z,2001,2001-01-01,2001-12-31
35835,GHED_GGHE-DGGE_SHA2011,COUNTRY,UGA,AFR,Africa,YEAR,2004,,,,,,,,,8.77,8.76695,,,,2024-12-10T14:55:59Z,2004,2004-01-01,2004-12-31
41848,GHED_GGHE-DGGE_SHA2011,COUNTRY,ERI,AFR,Africa,YEAR,2012,,,,,,,,,2.37,2.37287,,,,2024-12-10T14:55:59Z,2012,2012-01-01,2012-12-31
41899,GHED_GGHE-DGGE_SHA2011,COUNTRY,ISR,EUR,Europe,YEAR,2003,,,,,,,,,9.23,9.23191,,,,2024-12-10T14:55:59Z,2003,2003-01-01,2003-12-31
41905,GHED_GGHE-DGGE_SHA2011,COUNTRY,NER,AFR,Africa,YEAR,2018,,,,,,,,,8.35,8.34928,,,,2024-12-10T14:55:59Z,2018,2018-01-01,2018-12-31
42744,GHED_GGHE-DGGE_SHA2011,COUNTRY,MEX,AMR,Americas,YEAR,2015,,,,,,,,,10.86,10.86459,,,,2024-12-10T14:55:59Z,2015,2015-01-01,2015-12-31
47048,GHED_GGHE-DGGE_SHA2011,REGION,AMR,,,YEAR,2010,,,,,,,,,12.8,12.80437,,,,2024-12-10T14:55:59Z,2010,2010-01-01,2010-12-31
56096,GHED_GGHE-DGGE_SHA2011,COUNTRY,NIC,AMR,Americas,YEAR,2021,,,,,,,,,19.97,19.97417,,,,2024-12-10T14:55:59Z,2021,2021-01-01,2021-12-31
56924,GHED_GGHE-DGGE_SHA2011,COUNTRY,SYR,EMR,Eastern Mediterranean,YEAR,2013,,,,,,,,,5.93,5.9332,,,,2024-12-10T14:55:59Z,2013,2013-01-01,2013-12-31
58143,GHED_GGHE-DGGE_SHA2011,COUNTRY,BFA,AFR,Africa,YEAR,2019,,,,,,,,,9.58,9.57691,,,,2024-12-10T14:55:59Z,2019,2019-01-01,2019-12-31
62341,GHED_GGHE-DGGE_SHA2011,COUNTRY,TCD,AFR,Africa,YEAR,2007,,,,,,,,,5.99,5.99494,,,,2024-12-10T14:55:59Z,2007,2007-01-01,2007-12-31
66358,GHED_GGHE-DGGE_SHA2011,COUNTRY,MDV,SEAR,South-East Asia,YEAR,2009,,,,,,,,,15.74,15.74486,,,,2024-12-10T14:55:59Z,2009,2009-01-01,2009-12-31
68086,GHED_GGHE-DGGE_SHA2011,COUNTRY,ETH,AFR,Africa,YEAR,2020,,,,,,,,,6.79,6.79223,,,,2024-12-10T14:55:59Z,2020,2020-01-01,2020-12-31
68528,GHED_GGHE-DGGE_SHA2011,COUNTRY,FRA,EUR,Europe,YEAR,2007,,,,,,,,,13.95,13.9523,,,,2024-12-10T14:55:59Z,2007,2007-01-01,2007-12-31
69453,GHED_GGHE-DGGE_SHA2011,COUNTRY,GNQ,AFR,Africa,YEAR,2001,,,,,,,,,1.41,1.40894,,,,2024-12-10T14:55:59Z,2001,2001-01-01,2001-12-31
70472,GHED_GGHE-DGGE_SHA2011,COUNTRY,DOM,AMR,Americas,YEAR,2008,,,,,,,,,11.48,11.4765,,,,2024-12-10T14:55:59Z,2008,2008-01-01,2008-12-31
70759,GHED_GGHE-DGGE_SHA2011,COUNTRY,MDV,SEAR,South-East Asia,YEAR,2012,,,,,,,,,14.14,14.14015,,,,2024-12-10T14:55:59Z,2012,2012-01-01,2012-12-31
71792,GHED_GGHE-DGGE_SHA2011,COUNTRY,PRT,EUR,Europe,YEAR,2011,,,,,,,,,12.55,12.54798,,,,2024-12-10T14:55:59Z,2011,2011-01-01,2011-12-31
73670,GHED_GGHE-DGGE_SHA2011,COUNTRY,MDA,EUR,Europe,YEAR,2011,,,,,,,,,13.04,13.03699,,,,2024-12-10T14:55:59Z,2011,2011-01-01,2011-12-31
75750,GHED_GGHE-DGGE_SHA2011,COUNTRY,UGA,AFR,Africa,YEAR,2013,,,,,,,,,7.32,7.32428,,,,2024-12-10T14:55:59Z,2013,2013-01-01,2013-12-31
76554,GHED_GGHE-DGGE_SHA2011,COUNTRY,TGO,AFR,Africa,YEAR,2008,,,,,,,,,4.84,4.84372,,,,2024-12-10T14:55:59Z,2008,2008-01-01,2008-12-31
82592,GHED_GGHE-DGGE_SHA2011,COUNTRY,IRL,EUR,Europe,YEAR,2012,,,,,,,,,17.93,17.92599,,,,2024-12-10T14:55:59Z,2012,2012-01-01,2012-12-31
89676,GHED_GGHE-DGGE_SHA2011,COUNTRY,IRQ,EMR,Eastern Mediterranean,YEAR,2005,,,,,,,,,3.2,3.19642,,,,2024-12-10T14:55:59Z,2005,2005-01-01,2005-12-31
