Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
766,GHED_GGHE-D_pc_US_SHA2011,COUNTRY,LBR,AFR,Africa,YEAR,2001,,,,,,,,,1.59,1.59453,,,,2024-12-10T14:55:59Z,2001,2001-01-01,2001-12-31
13263,GHED_GGHE-D_pc_US_SHA2011,COUNTRY,SLB,WPR,Western Pacific,YEAR,2009,,,,,,,,,44.1,44.10091,,,,2024-12-10T14:55:59Z,2009,2009-01-01,2009-12-31
14335,GHED_GGHE-D_pc_US_SHA2011,COUNTRY,LSO,AFR,Africa,YEAR,2018,,,,,,,,,65.85,65.84759,,,,2024-12-10T14:55:59Z,2018,2018-01-01,2018-12-31
14774,GHED_GGHE-D_pc_US_SHA2011,REGION,EMR,,,YEAR,2021,,,,,,,,,391.09,391.08757,,,,2024-12-10T14:55:59Z,2021,2021-01-01,2021-12-31
15177,GHED_GGHE-D_pc_US_SHA2011,COUNTRY,USA,AMR,Americas,YEAR,2005,,,,,,,,,2923.48,2923.4837900000002,,,,2024-12-10T14:55:59Z,2005,2005-01-01,2005-12-31
15452,GHED_GGHE-D_pc_US_SHA2011,COUNTRY,NIC,AMR,Americas,YEAR,2005,,,,,,,,,29.68,29.67844,,,,2024-12-10T14:55:59Z,2005,2005-01-01,2005-12-31
15732,GHED_GGHE-D_pc_US_SHA2011,COUNTRY,MLT,EUR,Europe,YEAR,2002,,,,,,,,,584.79,584.79409,,,,2024-12-10T14:55:59Z,2002,2002-01-01,2002-12-31
15930,GHED_GGHE-D_pc_US_SHA2011,COUNTRY,TUR,EUR,Europe,YEAR,2010,,,,,,,,,414.82,414.8178,,,,2024-12-10T14:55:59Z,2010,2010-01-01,2010-12-31
17040,GHED_GGHE-D_pc_US_SHA2011,COUNTRY,AGO,AFR,Africa,YEAR,2006,,,,,,,,,37.79,37.79336,,,,2024-12-10T14:55:59Z,2006,2006-01-01,2006-12-31
19338,GHED_GGHE-D_pc_US_SHA2011,COUNTRY,COM,AFR,Africa,YEAR,2020,,,,,,,,,19.64,19.64327,,,,2024-12-10T14:55:59Z,2020,2020-01-01,2020-12-31
20127,GHED_GGHE-D_pc_US_SHA2011,COUNTRY,MEX,AMR,Americas,YEAR,2020,,,,,,,,,282.98,282.98172,,,,2024-12-10T14:55:59Z,2020,2020-01-01,2020-12-31
