Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
4590767,GHED_OOPSCHE_SHA2011,COUNTRY,KWT,EMR,Eastern Mediterranean,YEAR,2006,,,,,,,,,21.24,21.23933,,,,2024-12-10T14:55:59Z,2006,2006-01-01,2006-12-31
18,GHED_OOPSCHE_SHA2011,COUNTRY,SRB,EUR,Europe,YEAR,2018,,,,,,,,,38.31,38.31092,,,,2024-12-10T14:55:59Z,2018,2018-01-01,2018-12-31
3347,GHED_OOPSCHE_SHA2011,COUNTRY,BRN,WPR,Western Pacific,YEAR,2010,,,,,,,,,8.26,8.26135,,,,2024-12-10T14:55:59Z,2010,2010-01-01,2010-12-31
3354,GHED_OOPSCHE_SHA2011,COUNTRY,MLI,AFR,Africa,YEAR,2009,,,,,,,,,61.84,61.83541,,,,2024-12-10T14:55:59Z,2009,2009-01-01,2009-12-31
3604,GHED_OOPSCHE_SHA2011,COUNTRY,MAR,EMR,Eastern Mediterranean,YEAR,2005,,,,,,,,,59.66,59.65603,,,,2024-12-10T14:55:59Z,2005,2005-01-01,2005-12-31
6118,GHED_OOPSCHE_SHA2011,COUNTRY,COG,AFR,Africa,YEAR,2007,,,,,,,,,49.16,49.15676,,,,2024-12-10T14:55:59Z,2007,2007-01-01,2007-12-31
6431,GHED_OOPSCHE_SHA2011,COUNTRY,IND,SEAR,South-East Asia,YEAR,2004,,,,,,,,,72.48,72.48267,,,,2024-12-10T14:55:59Z,2004,2004-01-01,2004-12-31
6897,GHED_OOPSCHE_SHA2011,COUNTRY,TUN,EMR,Eastern Mediterranean,YEAR,2004,,,,,,,,,41.52,41.5186,,,,2024-12-10T14:55:59Z,2004,2004-01-01,2004-12-31
7814,GHED_OOPSCHE_SHA2011,COUNTRY,TUR,EUR,Europe,YEAR,2003,,,,,,,,,18.93,18.93056,,,,2024-12-10T14:55:59Z,2003,2003-01-01,2003-12-31
15070,GHED_OOPSCHE_SHA2011,COUNTRY,AUT,EUR,Europe,YEAR,2005,,,,,,,,,19.18,19.18326,,,,2024-12-10T14:55:59Z,2005,2005-01-01,2005-12-31
16525,GHED_OOPSCHE_SHA2011,COUNTRY,KIR,WPR,Western Pacific,YEAR,2021,,,,,,,,,0.67,0.66863,,,,2024-12-10T14:55:59Z,2021,2021-01-01,2021-12-31
19363,GHED_OOPSCHE_SHA2011,COUNTRY,SVN,EUR,Europe,YEAR,2021,,,,,,,,,12.88,12.87615,,,,2024-12-10T14:55:59Z,2021,2021-01-01,2021-12-31
20098,GHED_OOPSCHE_SHA2011,COUNTRY,CHE,EUR,Europe,YEAR,2001,,,,,,,,,30.12,30.11982,,,,2024-12-10T14:55:59Z,2001,2001-01-01,2001-12-31
21834,GHED_OOPSCHE_SHA2011,COUNTRY,VUT,WPR,Western Pacific,YEAR,2016,,,,,,,,,10.51,10.50645,,,,2024-12-10T14:55:59Z,2016,2016-01-01,2016-12-31
24183,GHED_OOPSCHE_SHA2011,COUNTRY,MKD,EUR,Europe,YEAR,2022,,,,,,,,,40.22,40.21561,,,,2024-12-10T14:55:59Z,2022,2022-01-01,2022-12-31
27588,GHED_OOPSCHE_SHA2011,COUNTRY,EGY,EMR,Eastern Mediterranean,YEAR,2000,,,,,,,,,62.49,62.48935,,,,2024-12-10T14:55:59Z,2000,2000-01-01,2000-12-31
30819,GHED_OOPSCHE_SHA2011,COUNTRY,ERI,AFR,Africa,YEAR,2015,,,,,,,,,42.9,42.9043,,,,2024-12-10T14:55:59Z,2015,2015-01-01,2015-12-31
