Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1726,GHED_OOP_pc_US_SHA2011,COUNTRY,MWI,AFR,Africa,YEAR,2000,,,,,,,,,1.48,1.48346,,,,2024-12-10T14:55:59Z,2000,2000-01-01,2000-12-31
5090,GHED_OOP_pc_US_SHA2011,COUNTRY,TJK,EUR,Europe,YEAR,2013,,,,,,,,,41.87,41.87133,,,,2024-12-10T14:55:59Z,2013,2013-01-01,2013-12-31
10736,GHED_OOP_pc_US_SHA2011,COUNTRY,WSM,WPR,Western Pacific,YEAR,2016,,,,,,,,,26.92,26.91774,,,,2024-12-10T14:55:59Z,2016,2016-01-01,2016-12-31
11020,GHED_OOP_pc_US_SHA2011,COUNTRY,BEN,AFR,Africa,YEAR,2008,,,,,,,,,12.37,12.37495,,,,2024-12-10T14:55:59Z,2008,2008-01-01,2008-12-31
11885,GHED_OOP_pc_US_SHA2011,COUNTRY,OMN,EMR,Eastern Mediterranean,YEAR,2006,,,,,,,,,39.25,39.25085,,,,2024-12-10T14:55:59Z,2006,2006-01-01,2006-12-31
14651,GHED_OOP_pc_US_SHA2011,COUNTRY,SVK,EUR,Europe,YEAR,2013,,,,,,,,,319.62,319.61566,,,,2024-12-10T14:55:59Z,2013,2013-01-01,2013-12-31
21675,GHED_OOP_pc_US_SHA2011,COUNTRY,USA,AMR,Americas,YEAR,2020,,,,,,,,,1173.36,1173.3555,,,,2024-12-10T14:55:59Z,2020,2020-01-01,2020-12-31
22848,GHED_OOP_pc_US_SHA2011,COUNTRY,IDN,SEAR,South-East Asia,YEAR,2014,,,,,,,,,46.15,46.15441,,,,2024-12-10T14:55:59Z,2014,2014-01-01,2014-12-31
23170,GHED_OOP_pc_US_SHA2011,COUNTRY,PAK,EMR,Eastern Mediterranean,YEAR,2003,,,,,,,,,8.68,8.67575,,,,2024-12-10T14:55:59Z,2003,2003-01-01,2003-12-31
26564,GHED_OOP_pc_US_SHA2011,COUNTRY,ATG,AMR,Americas,YEAR,2003,,,,,,,,,142.48,142.47685,,,,2024-12-10T14:55:59Z,2003,2003-01-01,2003-12-31
29583,GHED_OOP_pc_US_SHA2011,REGION,SEAR,,,YEAR,2011,,,,,,,,,48.34,48.34426,,,,2024-12-10T14:55:59Z,2011,2011-01-01,2011-12-31
32955,GHED_OOP_pc_US_SHA2011,COUNTRY,NZL,WPR,Western Pacific,YEAR,2017,,,,,,,,,522.68,522.68228,,,,2024-12-10T14:55:59Z,2017,2017-01-01,2017-12-31
34140,GHED_OOP_pc_US_SHA2011,COUNTRY,LTU,EUR,Europe,YEAR,2002,,,,,,,,,65.12,65.12494,,,,2024-12-10T14:55:59Z,2002,2002-01-01,2002-12-31
35682,GHED_OOP_pc_US_SHA2011,COUNTRY,SUR,AMR,Americas,YEAR,2008,,,,,,,,,81.16,81.16474,,,,2024-12-10T14:55:59Z,2008,2008-01-01,2008-12-31
37995,GHED_OOP_pc_US_SHA2011,COUNTRY,JAM,AMR,Americas,YEAR,2006,,,,,,,,,53.78,53.78099,,,,2024-12-10T14:55:59Z,2006,2006-01-01,2006-12-31
38672,GHED_OOP_pc_US_SHA2011,REGION,AFR,,,YEAR,2003,,,,,,,,,19.5,19.4985,,,,2024-12-10T14:55:59Z,2003,2003-01-01,2003-12-31
39683,GHED_OOP_pc_US_SHA2011,COUNTRY,ITA,EUR,Europe,YEAR,2004,,,,,,,,,585.8,585.80052,,,,2024-12-10T14:55:59Z,2004,2004-01-01,2004-12-31
43467,GHED_OOP_pc_US_SHA2011,COUNTRY,CMR,AFR,Africa,YEAR,2019,,,,,,,,,41,40.99957,,,,2024-12-10T14:55:59Z,2019,2019-01-01,2019-12-31
44841,GHED_OOP_pc_US_SHA2011,COUNTRY,BRA,AMR,Americas,YEAR,2018,,,,,,,,,218.53,218.53317,,,,2024-12-10T14:55:59Z,2018,2018-01-01,2018-12-31
45249,GHED_OOP_pc_US_SHA2011,COUNTRY,AGO,AFR,Africa,YEAR,2012,,,,,,,,,21.47,21.4687,,,,2024-12-10T14:55:59Z,2012,2012-01-01,2012-12-31
46213,GHED_OOP_pc_US_SHA2011,COUNTRY,TUR,EUR,Europe,YEAR,2003,,,,,,,,,44.02,44.02421,,,,2024-12-10T14:55:59Z,2003,2003-01-01,2003-12-31
48096,GHED_OOP_pc_US_SHA2011,COUNTRY,KAZ,EUR,Europe,YEAR,2010,,,,,,,,,65.68,65.67785,,,,2024-12-10T14:55:59Z,2010,2010-01-01,2010-12-31
50208,GHED_OOP_pc_US_SHA2011,COUNTRY,GRD,AMR,Americas,YEAR,2002,,,,,,,,,156.96,156.9598,,,,2024-12-10T14:55:59Z,2002,2002-01-01,2002-12-31
50985,GHED_OOP_pc_US_SHA2011,COUNTRY,BGD,SEAR,South-East Asia,YEAR,2007,,,,,,,,,9.32,9.32375,,,,2024-12-10T14:55:59Z,2007,2007-01-01,2007-12-31
54930,GHED_OOP_pc_US_SHA2011,COUNTRY,NLD,EUR,Europe,YEAR,2017,,,,,,,,,545.21,545.21458,,,,2024-12-10T14:55:59Z,2017,2017-01-01,2017-12-31
55721,GHED_OOP_pc_US_SHA2011,COUNTRY,MDV,SEAR,South-East Asia,YEAR,2009,,,,,,,,,233.24,233.23722,,,,2024-12-10T14:55:59Z,2009,2009-01-01,2009-12-31
56935,GHED_OOP_pc_US_SHA2011,COUNTRY,HUN,EUR,Europe,YEAR,2019,,,,,,,,,292.95,292.94941,,,,2024-12-10T14:55:59Z,2019,2019-01-01,2019-12-31
59241,GHED_OOP_pc_US_SHA2011,COUNTRY,USA,AMR,Americas,YEAR,2021,,,,,,,,,1299.84,1299.83577,,,,2024-12-10T14:55:59Z,2021,2021-01-01,2021-12-31
59899,GHED_OOP_pc_US_SHA2011,COUNTRY,BTN,SEAR,South-East Asia,YEAR,2014,,,,,,,,,18.46,18.45947,,,,2024-12-10T14:55:59Z,2014,2014-01-01,2014-12-31
62468,GHED_OOP_pc_US_SHA2011,COUNTRY,TKM,EUR,Europe,YEAR,2004,,,,,,,,,218.63,218.63408,,,,2024-12-10T14:55:59Z,2004,2004-01-01,2004-12-31
63967,GHED_OOP_pc_US_SHA2011,COUNTRY,ARE,EMR,Eastern Mediterranean,YEAR,2011,,,,,,,,,301.82,301.81904,,,,2024-12-10T14:55:59Z,2011,2011-01-01,2011-12-31
64731,GHED_OOP_pc_US_SHA2011,COUNTRY,NIU,WPR,Western Pacific,YEAR,2013,,,,,,,,,17.27,17.26671,,,,2024-12-10T14:55:59Z,2013,2013-01-01,2013-12-31
65131,GHED_OOP_pc_US_SHA2011,COUNTRY,ESP,EUR,Europe,YEAR,2016,,,,,,,,,521.9,521.89631,,,,2024-12-10T14:55:59Z,2016,2016-01-01,2016-12-31
65610,GHED_OOP_pc_US_SHA2011,COUNTRY,GRC,EUR,Europe,YEAR,2008,,,,,,,,,914.88,914.87768,,,,2024-12-10T14:55:59Z,2008,2008-01-01,2008-12-31
66624,GHED_OOP_pc_US_SHA2011,COUNTRY,NIC,AMR,Americas,YEAR,2008,,,,,,,,,44.67,44.67311,,,,2024-12-10T14:55:59Z,2008,2008-01-01,2008-12-31
73521,GHED_OOP_pc_US_SHA2011,COUNTRY,SWZ,AFR,Africa,YEAR,2021,,,,,,,,,32.06,32.05833,,,,2024-12-10T14:55:59Z,2021,2021-01-01,2021-12-31
77184,GHED_OOP_pc_US_SHA2011,COUNTRY,JPN,WPR,Western Pacific,YEAR,2010,,,,,,,,,593.28,593.27614,,,,2024-12-10T14:55:59Z,2010,2010-01-01,2010-12-31
77824,GHED_OOP_pc_US_SHA2011,REGION,AMR,,,YEAR,2018,,,,,,,,,249.51,249.51451,,,,2024-12-10T14:55:59Z,2018,2018-01-01,2018-12-31
77906,GHED_OOP_pc_US_SHA2011,REGION,AFR,,,YEAR,2014,,,,,,,,,39.17,39.16793,,,,2024-12-10T14:55:59Z,2014,2014-01-01,2014-12-31
78234,GHED_OOP_pc_US_SHA2011,GLOBAL,GLOBAL,,,YEAR,2001,,,,,,,,,99.04,99.03777,,,,2024-12-10T14:55:59Z,2001,2001-01-01,2001-12-31
80590,GHED_OOP_pc_US_SHA2011,COUNTRY,IRQ,EMR,Eastern Mediterranean,YEAR,2014,,,,,,,,,111.02,111.02126,,,,2024-12-10T14:55:59Z,2014,2014-01-01,2014-12-31
84862,GHED_OOP_pc_US_SHA2011,COUNTRY,IDN,SEAR,South-East Asia,YEAR,2020,,,,,,,,,41.12,41.12366,,,,2024-12-10T14:55:59Z,2020,2020-01-01,2020-12-31
85299,GHED_OOP_pc_US_SHA2011,COUNTRY,MRT,AFR,Africa,YEAR,2006,,,,,,,,,23.96,23.95763,,,,2024-12-10T14:55:59Z,2006,2006-01-01,2006-12-31
86176,GHED_OOP_pc_US_SHA2011,COUNTRY,BGD,SEAR,South-East Asia,YEAR,2015,,,,,,,,,24.14,24.13644,,,,2024-12-10T14:55:59Z,2015,2015-01-01,2015-12-31
89809,GHED_OOP_pc_US_SHA2011,COUNTRY,TUR,EUR,Europe,YEAR,2009,,,,,,,,,71.42,71.42246,,,,2024-12-10T14:55:59Z,2009,2009-01-01,2009-12-31
91730,GHED_OOP_pc_US_SHA2011,COUNTRY,ESP,EUR,Europe,YEAR,2022,,,,,,,,,558.2,558.20185,,,,2024-12-10T14:55:59Z,2022,2022-01-01,2022-12-31
96410,GHED_OOP_pc_US_SHA2011,COUNTRY,ARE,EMR,Eastern Mediterranean,YEAR,2007,,,,,,,,,339.73,339.72716,,,,2024-12-10T14:55:59Z,2007,2007-01-01,2007-12-31
