Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2328,GHED_PVT-DCHE_SHA2011,COUNTRY,SOM,EMR,Eastern Mediterranean,YEAR,2013,,,,,,,,,39.08,39.07528,,,,2024-12-10T14:55:59Z,2013,2013-01-01,2013-12-31
2971,GHED_PVT-DCHE_SHA2011,COUNTRY,GIN,AFR,Africa,YEAR,2008,,,,,,,,,71.76,71.75925,,,,2024-12-10T14:55:59Z,2008,2008-01-01,2008-12-31
12376,GHED_PVT-DCHE_SHA2011,COUNTRY,SLV,AMR,Americas,YEAR,2018,,,,,,,,,45.23,45.22979,,,,2024-12-10T14:55:59Z,2018,2018-01-01,2018-12-31
23525,GHED_PVT-DCHE_SHA2011,COUNTRY,SUR,AMR,Americas,YEAR,2005,,,,,,,,,50.59,50.58599,,,,2024-12-10T14:55:59Z,2005,2005-01-01,2005-12-31
24735,GHED_PVT-DCHE_SHA2011,COUNTRY,TON,WPR,Western Pacific,YEAR,2019,,,,,,,,,8.25,8.25036,,,,2024-12-10T14:55:59Z,2019,2019-01-01,2019-12-31
25259,GHED_PVT-DCHE_SHA2011,COUNTRY,TUN,EMR,Eastern Mediterranean,YEAR,2022,,,,,,,,,38.99,38.99253,,,,2024-12-10T14:55:59Z,2022,2022-01-01,2022-12-31
26186,GHED_PVT-DCHE_SHA2011,COUNTRY,FSM,WPR,Western Pacific,YEAR,2010,,,,,,,,,7.39,7.39194,,,,2024-12-10T14:55:59Z,2010,2010-01-01,2010-12-31
29101,GHED_PVT-DCHE_SHA2011,COUNTRY,NZL,WPR,Western Pacific,YEAR,2017,,,,,,,,,24.54,24.54491,,,,2024-12-10T14:55:59Z,2017,2017-01-01,2017-12-31
32123,GHED_PVT-DCHE_SHA2011,COUNTRY,NRU,WPR,Western Pacific,YEAR,2002,,,,,,,,,6.51,6.51456,,,,2024-12-10T14:55:59Z,2002,2002-01-01,2002-12-31
32546,GHED_PVT-DCHE_SHA2011,COUNTRY,STP,AFR,Africa,YEAR,2019,,,,,,,,,18.93,18.92681,,,,2024-12-10T14:55:59Z,2019,2019-01-01,2019-12-31
35700,GHED_PVT-DCHE_SHA2011,COUNTRY,ARE,EMR,Eastern Mediterranean,YEAR,2015,,,,,,,,,28.75,28.74894,,,,2024-12-10T14:55:59Z,2015,2015-01-01,2015-12-31
35996,GHED_PVT-DCHE_SHA2011,COUNTRY,JAM,AMR,Americas,YEAR,2006,,,,,,,,,50.86,50.85508,,,,2024-12-10T14:55:59Z,2006,2006-01-01,2006-12-31
38486,GHED_PVT-DCHE_SHA2011,COUNTRY,GAB,AFR,Africa,YEAR,2003,,,,,,,,,57.72,57.71537,,,,2024-12-10T14:55:59Z,2003,2003-01-01,2003-12-31
38673,GHED_PVT-DCHE_SHA2011,COUNTRY,IND,SEAR,South-East Asia,YEAR,2010,,,,,,,,,72.82,72.82318,,,,2024-12-10T14:55:59Z,2010,2010-01-01,2010-12-31
38879,GHED_PVT-DCHE_SHA2011,COUNTRY,KOR,WPR,Western Pacific,YEAR,2012,,,,,,,,,45.24,45.23912,,,,2024-12-10T14:55:59Z,2012,2012-01-01,2012-12-31
39141,GHED_PVT-DCHE_SHA2011,COUNTRY,PSE,EMR,Eastern Mediterranean,YEAR,2003,,,,,,,,,48.45,48.45343,,,,2024-12-10T14:55:59Z,2003,2003-01-01,2003-12-31
42708,GHED_PVT-DCHE_SHA2011,REGION,AFR,,,YEAR,2005,,,,,,,,,48.63,48.62824,,,,2024-12-10T14:55:59Z,2005,2005-01-01,2005-12-31
44241,GHED_PVT-DCHE_SHA2011,COUNTRY,ITA,EUR,Europe,YEAR,2002,,,,,,,,,25.04,25.04142,,,,2024-12-10T14:55:59Z,2002,2002-01-01,2002-12-31
