Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
4590208,GHED_PVT-D_pc_US_SHA2011,REGION,AMR,,,YEAR,2003,,,,,,,,,235.52,235.52131,,,,2024-12-10T14:55:59Z,2003,2003-01-01,2003-12-31
1988,GHED_PVT-D_pc_US_SHA2011,COUNTRY,SSD,AFR,Africa,YEAR,2017,,,,,,,,,6.58,6.57675,,,,2024-12-10T14:55:59Z,2017,2017-01-01,2017-12-31
3362,GHED_PVT-D_pc_US_SHA2011,COUNTRY,ROU,EUR,Europe,YEAR,2004,,,,,,,,,49.06,49.05641,,,,2024-12-10T14:55:59Z,2004,2004-01-01,2004-12-31
5858,GHED_PVT-D_pc_US_SHA2011,COUNTRY,LUX,EUR,Europe,YEAR,2022,,,,,,,,,829.19,829.19027,,,,2024-12-10T14:55:59Z,2022,2022-01-01,2022-12-31
5946,GHED_PVT-D_pc_US_SHA2011,COUNTRY,GUY,AMR,Americas,YEAR,2002,,,,,,,,,28.5,28.49554,,,,2024-12-10T14:55:59Z,2002,2002-01-01,2002-12-31
9136,GHED_PVT-D_pc_US_SHA2011,COUNTRY,SUR,AMR,Americas,YEAR,2001,,,,,,,,,46.99,46.98747,,,,2024-12-10T14:55:59Z,2001,2001-01-01,2001-12-31
9217,GHED_PVT-D_pc_US_SHA2011,COUNTRY,COG,AFR,Africa,YEAR,2000,,,,,,,,,9.42,9.41808,,,,2024-12-10T14:55:59Z,2000,2000-01-01,2000-12-31
10212,GHED_PVT-D_pc_US_SHA2011,COUNTRY,HRV,EUR,Europe,YEAR,2005,,,,,,,,,109.15,109.15056,,,,2024-12-10T14:55:59Z,2005,2005-01-01,2005-12-31
16449,GHED_PVT-D_pc_US_SHA2011,COUNTRY,DOM,AMR,Americas,YEAR,2014,,,,,,,,,128.34,128.33647,,,,2024-12-10T14:55:59Z,2014,2014-01-01,2014-12-31
24013,GHED_PVT-D_pc_US_SHA2011,COUNTRY,GBR,EUR,Europe,YEAR,2009,,,,,,,,,660.05,660.05331,,,,2024-12-10T14:55:59Z,2009,2009-01-01,2009-12-31
24971,GHED_PVT-D_pc_US_SHA2011,REGION,SEAR,,,YEAR,2018,,,,,,,,,56.87,56.86957,,,,2024-12-10T14:55:59Z,2018,2018-01-01,2018-12-31
25156,GHED_PVT-D_pc_US_SHA2011,COUNTRY,SGP,WPR,Western Pacific,YEAR,2005,,,,,,,,,608.74,608.73722,,,,2024-12-10T14:55:59Z,2005,2005-01-01,2005-12-31
26335,GHED_PVT-D_pc_US_SHA2011,COUNTRY,HND,AMR,Americas,YEAR,2012,,,,,,,,,99.11,99.11181,,,,2024-12-10T14:55:59Z,2012,2012-01-01,2012-12-31
32390,GHED_PVT-D_pc_US_SHA2011,COUNTRY,NER,AFR,Africa,YEAR,2009,,,,,,,,,14.51,14.50604,,,,2024-12-10T14:55:59Z,2009,2009-01-01,2009-12-31
34956,GHED_PVT-D_pc_US_SHA2011,WORLDBANKINCOMEGROUP,WB_UMI,,,YEAR,2018,,,,,,,,,191.27,191.27281,,,,2024-12-10T14:55:59Z,2018,2018-01-01,2018-12-31
37556,GHED_PVT-D_pc_US_SHA2011,COUNTRY,MUS,AFR,Africa,YEAR,2000,,,,,,,,,53.51,53.5102,,,,2024-12-10T14:55:59Z,2000,2000-01-01,2000-12-31
42486,GHED_PVT-D_pc_US_SHA2011,COUNTRY,AUT,EUR,Europe,YEAR,2014,,,,,,,,,1482.32,1482.31866,,,,2024-12-10T14:55:59Z,2014,2014-01-01,2014-12-31
42737,GHED_PVT-D_pc_US_SHA2011,COUNTRY,LBR,AFR,Africa,YEAR,2005,,,,,,,,,14.61,14.6118,,,,2024-12-10T14:55:59Z,2005,2005-01-01,2005-12-31
43155,GHED_PVT-D_pc_US_SHA2011,COUNTRY,SLE,AFR,Africa,YEAR,2004,,,,,,,,,16.91,16.90739,,,,2024-12-10T14:55:59Z,2004,2004-01-01,2004-12-31
44314,GHED_PVT-D_pc_US_SHA2011,COUNTRY,NZL,WPR,Western Pacific,YEAR,2007,,,,,,,,,560.16,560.16094,,,,2024-12-10T14:55:59Z,2007,2007-01-01,2007-12-31
52045,GHED_PVT-D_pc_US_SHA2011,COUNTRY,AUT,EUR,Europe,YEAR,2017,,,,,,,,,1293.73,1293.7251,,,,2024-12-10T14:55:59Z,2017,2017-01-01,2017-12-31
58647,GHED_PVT-D_pc_US_SHA2011,COUNTRY,CIV,AFR,Africa,YEAR,2017,,,,,,,,,37.15,37.1459,,,,2024-12-10T14:55:59Z,2017,2017-01-01,2017-12-31
61482,GHED_PVT-D_pc_US_SHA2011,COUNTRY,KHM,WPR,Western Pacific,YEAR,2014,,,,,,,,,42.74,42.73839,,,,2024-12-10T14:55:59Z,2014,2014-01-01,2014-12-31
65196,GHED_PVT-D_pc_US_SHA2011,COUNTRY,BRA,AMR,Americas,YEAR,2000,,,,,,,,,182.22,182.22222,,,,2024-12-10T14:55:59Z,2000,2000-01-01,2000-12-31
65566,GHED_PVT-D_pc_US_SHA2011,COUNTRY,NAM,AFR,Africa,YEAR,2015,,,,,,,,,248.18,248.17647,,,,2024-12-10T14:55:59Z,2015,2015-01-01,2015-12-31
69064,GHED_PVT-D_pc_US_SHA2011,COUNTRY,PRT,EUR,Europe,YEAR,2017,,,,,,,,,774.61,774.6061,,,,2024-12-10T14:55:59Z,2017,2017-01-01,2017-12-31
76811,GHED_PVT-D_pc_US_SHA2011,COUNTRY,LKA,SEAR,South-East Asia,YEAR,2014,,,,,,,,,71.81,71.80815,,,,2024-12-10T14:55:59Z,2014,2014-01-01,2014-12-31
77699,GHED_PVT-D_pc_US_SHA2011,COUNTRY,ARE,EMR,Eastern Mediterranean,YEAR,2004,,,,,,,,,352.47,352.47034,,,,2024-12-10T14:55:59Z,2004,2004-01-01,2004-12-31
82353,GHED_PVT-D_pc_US_SHA2011,COUNTRY,NAM,AFR,Africa,YEAR,2018,,,,,,,,,215.43,215.43417,,,,2024-12-10T14:55:59Z,2018,2018-01-01,2018-12-31
88198,GHED_PVT-D_pc_US_SHA2011,COUNTRY,PAK,EMR,Eastern Mediterranean,YEAR,2007,,,,,,,,,20.51,20.51109,,,,2024-12-10T14:55:59Z,2007,2007-01-01,2007-12-31
